stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0,00000] opening C:\Users\User\Documents\GitHub\SnakeGame\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0,07784] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,07806] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,07826] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,07845] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,07866] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,07907] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,07935] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,07952] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,07982] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08005] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,08034] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08057] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,08081] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,08101] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,08122] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,08151] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,08187] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08210] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,08233] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08253] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,08277] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08297] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,08316] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,08336] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,08357] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,08391] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,08413] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08433] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,08449] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08474] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,08499] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,08537] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,08564] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,08592] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,08618] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,08664] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,09545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,09637] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,09666] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,09691] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,09718] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,09760] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,09796] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,09820] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,09841] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,09864] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,09887] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,09908] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,09930] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,09948] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,09966] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,09984] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,10002] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,10028] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,10051] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,10077] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,10098] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,10125] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,10162] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,10205] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,10230] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,10272] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,10294] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,10315] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,10338] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,10364] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0,10388] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,10411] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0,10432] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,10452] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0,10478] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,10500] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0,10520] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,10541] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10571] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,10595] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10615] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,10647] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10671] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,10691] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,10732] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10752] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,10773] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10794] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,10827] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10849] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,10869] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10892] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,10912] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,10952] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,10975] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,10995] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11014] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11035] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11058] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11080] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11102] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11121] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11146] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11174] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11209] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11344] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11380] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11404] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11459] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11481] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11501] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11526] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11573] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11602] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11633] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11654] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11674] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11694] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11715] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11737] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11758] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11781] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11808] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11836] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,11857] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11904] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11926] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11946] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,11966] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,11988] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12010] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12029] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,12055] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12073] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,12094] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12115] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12144] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12165] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12189] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12213] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12255] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12292] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,12322] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12344] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,12367] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12385] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12406] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12423] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12448] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12475] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0,12511] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0,12544] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,12659] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,12716] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,12740] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,12767] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,12792] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,12820] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,12876] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,12915] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,12951] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,12994] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,13035] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,13090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,13464] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,13494] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13521] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,13541] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13568] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,13593] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13615] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,13640] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,13659] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,13679] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,13699] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,13718] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13738] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,13760] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13781] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,13801] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13831] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,13852] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,13874] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,13895] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,13916] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,13934] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,13964] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,13989] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14011] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,14039] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14064] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,14082] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14106] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14127] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14151] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14191] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14224] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,14279] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14311] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,14330] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14351] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,14370] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14391] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14412] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14439] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14477] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14500] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,14521] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14544] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,14650] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14687] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,14711] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14731] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14749] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14769] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14791] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14817] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,14848] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14875] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,14899] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,14923] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,14942] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,14966] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,14985] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0,15004] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0,15033] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,15068] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0,15085] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,15108] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0,15133] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0,15168] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0,15207] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0,15233] Single Buffer requirement not met.
